requestedUrl,finalUrl,category,name,title,type,score
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","performance-score","Overall Performance Category Score","numeric","0.87"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.75"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","speed-index","Speed Index","numeric","0.84"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.77"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","interactive","Time to Interactive","numeric","0.95"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","total-blocking-time","Total Blocking Time","numeric","1"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","first-cpu-idle","First CPU Idle","numeric","0.95"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.09"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.75"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","estimated-input-latency","Estimated Input Latency","numeric","0.05"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","1"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","uses-responsive-images","Properly size images","numeric","1"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","unminified-css","Minify CSS","numeric","1"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","unused-css-rules","Remove unused CSS","numeric","1"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","unused-javascript","Remove unused JavaScript","numeric","1"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"http://wikipedia.org/","https://www.wikipedia.org/","Performance","uses-webp-images","Serve images in next-gen formats","numeric","1"
