requestedUrl,finalUrl,category,name,title,type,score
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","performance-score","Overall Performance Category Score","numeric","0.16"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","first-contentful-paint","First Contentful Paint","numeric","0.3"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","speed-index","Speed Index","numeric","0.04"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.01"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","interactive","Time to Interactive","numeric","0.35"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","total-blocking-time","Total Blocking Time","numeric","0.07"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.82"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","first-cpu-idle","First CPU Idle","numeric","0.28"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.02"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.03"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","estimated-input-latency","Estimated Input Latency","numeric","0.13"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.83"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","uses-responsive-images","Properly size images","numeric","0.5"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","offscreen-images","Defer offscreen images","numeric","1"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","unminified-css","Minify CSS","numeric","1"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","unused-css-rules","Remove unused CSS","numeric","0.68"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","unused-javascript","Remove unused JavaScript","numeric","0.4"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","uses-webp-images","Serve images in next-gen formats","numeric","1"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","uses-text-compression","Enable text compression","numeric","1"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","0.7"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","server-response-time","Initial server response time was short","binary","1"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","redirects","Avoid multiple page redirects","numeric","0.34"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","uses-rel-preload","Preload key requests","numeric","1"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","uses-http2","Use HTTP/2","binary","1"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"http://weibo.com/","https://m.weibo.cn/?&jumpfrom=weibocom","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
