requestedUrl,finalUrl,category,name,title,type,score
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","performance-score","Overall Performance Category Score","numeric","0.33"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","first-contentful-paint","First Contentful Paint","numeric","0.78"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","speed-index","Speed Index","numeric","0.56"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.04"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","interactive","Time to Interactive","numeric","0.36"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","total-blocking-time","Total Blocking Time","numeric","0.08"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.85"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","first-cpu-idle","First CPU Idle","numeric","0.4"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.03"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.29"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","estimated-input-latency","Estimated Input Latency","numeric","0.36"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","uses-responsive-images","Properly size images","numeric","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","offscreen-images","Defer offscreen images","numeric","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","unminified-css","Minify CSS","numeric","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","unused-css-rules","Remove unused CSS","numeric","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","unused-javascript","Remove unused JavaScript","numeric","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","uses-webp-images","Serve images in next-gen formats","numeric","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","uses-text-compression","Enable text compression","numeric","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","server-response-time","Initial server response time was short","binary","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","redirects","Avoid multiple page redirects","numeric","0.35"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","uses-rel-preload","Preload key requests","numeric","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","uses-http2","Use HTTP/2","binary","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","efficient-animated-content","Use video formats for animated content","numeric","0.92"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"http://aliexpress.com/","https://m.aliexpress.com/?tracelog=wwwhome2mobilesitehome","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","0.95"
