requestedUrl,finalUrl,category,name,title,type,score
"http://indeed.com/","https://pk.indeed.com/m/","Performance","performance-score","Overall Performance Category Score","numeric","0.17"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.21"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","speed-index","Speed Index","numeric","0.14"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.03"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","interactive","Time to Interactive","numeric","0.14"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","total-blocking-time","Total Blocking Time","numeric","0.14"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","first-cpu-idle","First CPU Idle","numeric","0.11"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.18"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.07"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","estimated-input-latency","Estimated Input Latency","numeric","0.37"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","0.42"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","uses-responsive-images","Properly size images","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","unminified-css","Minify CSS","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","unused-css-rules","Remove unused CSS","numeric","0.57"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","unused-javascript","Remove unused JavaScript","numeric","0.31"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","uses-webp-images","Serve images in next-gen formats","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","uses-text-compression","Enable text compression","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","server-response-time","Initial server response time was short","binary","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","redirects","Avoid multiple page redirects","numeric","0.15"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","uses-rel-preload","Preload key requests","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","uses-http2","Use HTTP/2","binary","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","0.69"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","preload-lcp-image","Preload Largest Contentful Paint image","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","total-byte-weight","Avoids enormous network payloads","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","uses-long-cache-ttl","Uses efficient cache policy on static assets","numeric","0.93"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","dom-size","Avoids an excessive DOM size","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","user-timings","User Timing marks and measures","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","bootup-time","Reduce JavaScript execution time","numeric","0.72"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","mainthread-work-breakdown","Minimize main-thread work","numeric","0.36"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","font-display","Ensure text remains visible during webfont load","binary","0"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","performance-budget","Performance budget","notApplicable","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","timing-budget","Timing budget","notApplicable","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","third-party-summary","Minimize third-party usage","binary","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","third-party-facades","Lazy load third-party resources with facades","notApplicable","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","largest-contentful-paint-element","Largest Contentful Paint element","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","layout-shift-elements","Avoid large layout shifts","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","uses-passive-event-listeners","Uses passive listeners to improve scrolling performance","binary","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","no-document-write","Avoids `document.write()`","binary","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","long-tasks","Avoid long main-thread tasks","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","non-composited-animations","Avoid non-composited animations","notApplicable","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","unsized-images","Image elements have explicit `width` and `height`","binary","1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","network-requests","Network Requests","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","network-rtt","Network Round Trip Times","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","network-server-latency","Server Backend Latencies","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","main-thread-tasks","Tasks","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","diagnostics","Diagnostics","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","metrics","Metrics","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","screenshot-thumbnails","Screenshot Thumbnails","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Performance","final-screenshot","Final Screenshot","informative","-1"
"http://indeed.com/","https://pk.indeed.com/m/","Accessibility","accessibility-score","Overall Accessibility Category Score","numeric","1"
"http://indeed.com/","https://pk.indeed.com/m/","Accessibility","accesskeys","`[accesskey]` values are unique","notApplicable","-1"
