requestedUrl,finalUrl,category,name,title,type,score
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","performance-score","Overall Performance Category Score","numeric","0.38"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.46"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","speed-index","Speed Index","numeric","0.28"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.43"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","interactive","Time to Interactive","numeric","0.12"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","total-blocking-time","Total Blocking Time","numeric","0.48"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.53"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","first-cpu-idle","First CPU Idle","numeric","0.43"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.62"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.46"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","estimated-input-latency","Estimated Input Latency","numeric","0.72"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","uses-responsive-images","Properly size images","numeric","0.45"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","offscreen-images","Defer offscreen images","numeric","0.48"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","unminified-css","Minify CSS","numeric","1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","unused-css-rules","Remove unused CSS","numeric","1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","unused-javascript","Remove unused JavaScript","numeric","0.58"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","uses-optimized-images","Efficiently encode images","numeric","0.5"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","uses-webp-images","Serve images in next-gen formats","numeric","0.39"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","uses-text-compression","Enable text compression","numeric","1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","server-response-time","Reduce initial server response time","binary","0"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","redirects","Avoid multiple page redirects","numeric","0.42"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","uses-rel-preload","Preload key requests","numeric","1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","uses-http2","Use HTTP/2","binary","1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","preload-lcp-image","Preload Largest Contentful Paint image","numeric","1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","total-byte-weight","Avoid enormous network payloads","numeric","0.66"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","uses-long-cache-ttl","Serve static assets with an efficient cache policy","numeric","0.42"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","dom-size","Avoids an excessive DOM size","numeric","0.95"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","critical-request-chains","Avoid chaining critical requests","informative","-1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"http://amazon.co.uk/","https://www.amazon.co.uk/","Performance","bootup-time","Reduce JavaScript execution time","numeric","0.37"
